student_id,firstname,lastname,class,date_of_birth,password,admin_id,email
PES2UG22CS001,Amber,Campbell,M,2005-07-24,myspwd,PES0000000001,PES2UG22CS001@pes.edu
PES2UG22CS002,Charles,Kim,M,2006-08-04,myspwd,PES0000000001,PES2UG22CS002@pes.edu
PES2UG22CS003,Sean,Evans,M,2005-02-16,myspwd,PES0000000001,PES2UG22CS003@pes.edu
PES2UG22CS004,Andrew,Ballard,M,2006-01-28,myspwd,PES0000000001,PES2UG22CS004@pes.edu
PES2UG22CS005,Susan,Peterson,M,2005-10-16,myspwd,PES0000000001,PES2UG22CS005@pes.edu
PES2UG22CS006,Larry,Lucas,M,2005-04-23,myspwd,PES0000000001,PES2UG22CS006@pes.edu
PES2UG22CS007,Amy,Davenport,M,2004-06-09,myspwd,PES0000000001,PES2UG22CS007@pes.edu
PES2UG22CS008,Matthew,Thomas,M,2006-07-01,myspwd,PES0000000001,PES2UG22CS008@pes.edu
PES2UG22CS009,Kristina,Hatfield,M,2005-12-19,myspwd,PES0000000001,PES2UG22CS009@pes.edu
PES2UG22CS010,Jacqueline,Villanueva,M,2004-01-26,myspwd,PES0000000001,PES2UG22CS010@pes.edu
PES2UG22CS011,Kathleen,Cooper,M,2006-09-24,myspwd,PES0000000001,PES2UG22CS011@pes.edu
PES2UG22CS012,Shannon,Williams,M,2005-12-14,myspwd,PES0000000001,PES2UG22CS012@pes.edu
PES2UG22CS013,Michael,Thomas,M,2005-09-02,myspwd,PES0000000001,PES2UG22CS013@pes.edu
PES2UG22CS014,Thomas,Morgan,M,2005-03-12,myspwd,PES0000000001,PES2UG22CS014@pes.edu
PES2UG22CS015,Kimberly,Anderson,M,2006-02-12,myspwd,PES0000000001,PES2UG22CS015@pes.edu
PES2UG22CS016,Jasmine,Hull,M,2004-04-02,myspwd,PES0000000001,PES2UG22CS016@pes.edu
PES2UG22CS017,Jillian,Gomez,M,2005-02-20,myspwd,PES0000000001,PES2UG22CS017@pes.edu
PES2UG22CS018,Ryan,Hernandez,M,2006-01-11,myspwd,PES0000000001,PES2UG22CS018@pes.edu
PES2UG22CS019,Michael,Carter,M,2004-10-18,myspwd,PES0000000001,PES2UG22CS019@pes.edu
PES2UG22CS020,Shawn,Alexander,M,2003-10-31,myspwd,PES0000000001,PES2UG22CS020@pes.edu
PES2UG22CS021,Stephen,Rivera,M,2004-10-09,myspwd,PES0000000001,PES2UG22CS021@pes.edu
PES2UG22CS022,Stephanie,Thompson,M,2005-10-07,myspwd,PES0000000001,PES2UG22CS022@pes.edu
PES2UG22CS023,Thomas,Carr,M,2004-06-04,myspwd,PES0000000001,PES2UG22CS023@pes.edu
PES2UG22CS024,Wesley,Jones,M,2005-05-04,myspwd,PES0000000001,PES2UG22CS024@pes.edu
PES2UG22CS025,Michael,Estes,M,2006-04-10,myspwd,PES0000000001,PES2UG22CS025@pes.edu
PES2UG22CS026,Carrie,Gomez,M,2005-02-03,myspwd,PES0000000001,PES2UG22CS026@pes.edu
PES2UG22CS027,Andrew,Gomez,M,2006-10-04,myspwd,PES0000000001,PES2UG22CS027@pes.edu
PES2UG22CS028,Howard,Schmidt,M,2006-04-04,myspwd,PES0000000001,PES2UG22CS028@pes.edu
PES2UG22CS029,Holly,Brown,M,2006-05-15,myspwd,PES0000000001,PES2UG22CS029@pes.edu
PES2UG22CS030,Stuart,Marsh,M,2006-05-23,myspwd,PES0000000001,PES2UG22CS030@pes.edu
PES2UG22CS031,Margaret,Hicks,M,2004-02-09,myspwd,PES0000000001,PES2UG22CS031@pes.edu
PES2UG22CS032,Timothy,Matthews,M,2004-03-29,myspwd,PES0000000001,PES2UG22CS032@pes.edu
PES2UG22CS033,Amber,Smith,M,2006-08-16,myspwd,PES0000000001,PES2UG22CS033@pes.edu
PES2UG22CS034,George,Ritter,M,2005-07-17,myspwd,PES0000000001,PES2UG22CS034@pes.edu
PES2UG22CS035,John,Barrett,M,2005-04-25,myspwd,PES0000000001,PES2UG22CS035@pes.edu
PES2UG22CS036,Brittany,Gomez,M,2006-06-15,myspwd,PES0000000001,PES2UG22CS036@pes.edu
PES2UG22CS037,Elizabeth,Rivera,M,2004-07-06,myspwd,PES0000000001,PES2UG22CS037@pes.edu
PES2UG22CS038,Ryan,Cook,M,2005-06-18,myspwd,PES0000000001,PES2UG22CS038@pes.edu
PES2UG22CS039,Amanda,Park,M,2004-10-22,myspwd,PES0000000001,PES2UG22CS039@pes.edu
PES2UG22CS040,Natalie,Pugh,M,2004-10-11,myspwd,PES0000000001,PES2UG22CS040@pes.edu
PES2UG22CS041,Lori,Mccullough,M,2003-12-28,myspwd,PES0000000001,PES2UG22CS041@pes.edu
PES2UG22CS042,Lori,Ellis,M,2005-07-25,myspwd,PES0000000001,PES2UG22CS042@pes.edu
